task,difficulty,negativeControl,experiment,condition,repetition,acceptance,editRounds,editRejections,modelMs,inputTokens,outputTokens,trialAttempt,servingProviders,modelFailure
"bounded-map","hard","false","editing","native","1","passed","1","0","27513","438","4104","1","Parasail","false"
"abort-retry","hard","false","review","baseline","1","passed","1","0","151227","1363","16969","1","Parasail","false"
"abort-retry","hard","false","editing","native","1","passed","1","0","47105","457","6227","1","Parasail","false"
"abort-retry","hard","false","review","skill","1","passed","1","0","162596","1673","22251","1","Parasail","false"
"abort-retry","hard","false","editing","anchored","1","passed","1","0","46096","570","8045","1","Parasail","false"
"transaction-rollback","hard","false","review","skill","1","passed","1","0","91539","2028","13476","1","Parasail","false"
"transaction-rollback","hard","false","editing","anchored","1","failed","1","0","105776","1008","16384","1","Parasail","true"
"transaction-rollback","hard","false","review","baseline","1","failed","1","0","124291","1730","22353","1","Parasail","true"
"transaction-rollback","hard","false","editing","native","1","passed","1","0","34655","718","5819","1","Parasail","false"
"schema-migration","medium","false","review","baseline","1","passed","1","0","74676","1414","10065","2","Parasail","false"
"schema-migration","medium","false","editing","native","1","passed","1","0","36580","414","5927","2","Parasail","false"
"schema-migration","medium","false","review","skill","1","passed","1","0","142514","1860","13900","1","Parasail","false"
"schema-migration","medium","false","editing","anchored","1","passed","1","0","53284","465","6534","1","Parasail","false"
"canonical-key","medium","false","review","skill","1","passed","1","0","105379","1831","15396","2","Parasail","false"
"canonical-key","medium","false","editing","anchored","1","passed","1","0","99190","506","9103","1","Parasail","false"
"canonical-key","medium","false","review","baseline","1","failed","1","0","201178","1205","24667","1","Parasail","true"
"canonical-key","medium","false","editing","native","1","passed","1","0","51137","421","8161","1","Parasail","false"
"pagination-merge","medium","false","review","baseline","1","passed","1","0","69568","1577","8711","1","Parasail","false"
"pagination-merge","medium","false","editing","native","1","passed","1","0","35052","553","5735","1","Parasail","false"
"pagination-merge","medium","false","review","skill","1","passed","1","0","58878","2099","9394","1","Parasail","false"
"pagination-merge","medium","false","editing","anchored","1","failed","1","0","46479","713","5855","1","Parasail","false"
"archive-boundary","medium","false","review","skill","1","passed","1","0","61920","2309","1191","3","Morph","false"
"archive-boundary","medium","false","editing","anchored","1","passed","1","0","67096","469","7428","1","Parasail","false"
"archive-boundary","medium","false","review","baseline","1","passed","1","0","51295","1454","790","3","Morph","false"
"archive-boundary","medium","false","editing","native","1","passed","1","0","101568","417","11186","2","Parasail","false"
"stream-lines","hard","false","review","baseline","1","passed","1","0","142744","1856","12521","2","Morph; Parasail","false"
"stream-lines","hard","false","editing","native","1","passed","1","0","69054","498","8778","1","Parasail","false"
"stream-lines","hard","false","review","skill","1","passed","1","0","119667","1833","18301","1","Parasail","false"
"stream-lines","hard","false","editing","anchored","1","passed","1","0","59197","628","9957","1","Parasail","false"
"tenant-cache","hard","false","review","skill","1","passed","1","0","80818","2514","17251","1","Parasail","false"
"tenant-cache","hard","false","editing","anchored","1","failed","1","0","78319","902","16384","1","Parasail","true"
"tenant-cache","hard","false","review","baseline","1","failed","0","0","89766","676","16384","1","Parasail","true"
"tenant-cache","hard","false","editing","native","1","passed","1","0","68314","690","13794","1","Parasail","false"
"public-hooks","medium","true","review","baseline","1","passed","1","0","18456","920","3195","1","Parasail","false"
"public-hooks","medium","true","editing","native","1","passed","1","0","8227","467","1284","1","Parasail","false"
"public-hooks","medium","true","review","skill","1","passed","1","0","28951","1479","5252","1","Parasail","false"
"public-hooks","medium","true","editing","anchored","1","passed","1","0","5982","610","1005","1","Parasail","false"
"lazy-iterator","hard","false","review","skill","1","passed","1","0","88318","1664","17996","1","Parasail","false"
"lazy-iterator","hard","false","editing","anchored","1","failed","1","0","52715","659","9782","1","Parasail","false"
"lazy-iterator","hard","false","review","baseline","1","failed","0","0","82104","484","16384","1","Parasail","true"
"lazy-iterator","hard","false","editing","native","1","failed","1","0","80677","498","16384","1","Parasail","true"
"browser-search-race","hard","false","review","baseline","1","passed","1","0","41671","1864","6860","1","Parasail","false"
"browser-search-race","hard","false","editing","native","1","passed","1","0","22863","681","4157","1","Parasail","false"
"browser-search-race","hard","false","review","skill","1","passed","1","0","64218","2304","11902","1","Parasail","false"
"browser-search-race","hard","false","editing","anchored","1","passed","1","0","30439","967","5565","1","Parasail","false"
"browser-storage-failure","medium","false","review","skill","1","passed","1","0","64442","2222","11148","1","Parasail","false"
"browser-storage-failure","medium","false","editing","anchored","1","passed","1","0","29247","958","4640","1","Parasail","false"
"browser-storage-failure","medium","false","review","baseline","1","passed","1","0","37582","1596","6262","1","Parasail","false"
"browser-storage-failure","medium","false","editing","native","1","passed","1","0","23610","682","4119","1","Parasail","false"
"repo-output-streams","hard","false","review","baseline","1","passed","1","0","106888","12000","18243","1","Parasail","false"
"repo-output-streams","hard","false","editing","native","1","passed","1","0","41091","5870","6069","1","Parasail","false"
"repo-output-streams","hard","false","review","skill","1","failed","0","0","75980","6415","16384","2","Parasail","true"
"repo-output-streams","hard","false","editing","anchored","1","passed","1","0","43061","12171","6826","1","Parasail","false"
"repo-slot-admission","hard","false","review","skill","1","passed","1","0","74378","12625","13884","1","Parasail","false"
"repo-slot-admission","hard","false","editing","anchored","1","passed","1","0","12953","12169","2249","1","Parasail","false"
"repo-slot-admission","hard","false","review","baseline","1","passed","1","0","25845","11950","4847","1","Parasail","false"
"repo-slot-admission","hard","false","editing","native","1","passed","1","0","19750","5867","3220","1","Parasail","false"
"repo-receipt-freshness","hard","false","review","baseline","1","passed","1","0","74824","18820","12914","1","Parasail","false"
"repo-receipt-freshness","hard","false","editing","native","1","failed","1","0","96496","9306","16384","1","Parasail","true"
"repo-receipt-freshness","hard","false","review","skill","1","passed","1","0","80055","19499","16071","1","Parasail","false"
"repo-receipt-freshness","hard","false","editing","anchored","1","passed","1","0","12171","19521","2443","1","Parasail","false"
"repo-command-redaction","hard","false","review","skill","1","failed","1","0","175471","3539","32386","1","Parasail","true"
"repo-command-redaction","hard","false","editing","anchored","1","passed","1","0","52731","2600","9245","1","Parasail","false"
"repo-command-redaction","hard","false","review","baseline","1","passed","1","0","74621","3373","12105","1","Parasail; Morph","false"
"repo-command-redaction","hard","false","editing","native","1","passed","1","0","52590","1442","7328","1","Parasail","false"
"page-boundary","easy","false","review","skill","2","passed","1","0","21755","1697","870","1","Morph; Parasail","false"
"page-boundary","easy","false","editing","anchored","2","passed","1","0","9183","607","205","1","Morph","false"
"page-boundary","easy","false","review","baseline","2","failed","0","0","90061","333","16384","1","Parasail","true"
"page-boundary","easy","false","editing","native","2","passed","1","0","13494","514","181","1","Morph","false"
"explicit-zero","easy","false","review","baseline","2","passed","1","0","29740","1123","345","1","Morph","false"
"explicit-zero","easy","false","editing","native","2","passed","1","0","6982","511","187","1","Morph","false"
"explicit-zero","easy","false","review","skill","2","passed","1","0","29628","1745","427","1","Morph","false"
"explicit-zero","easy","false","editing","anchored","2","passed","1","0","16550","593","222","1","Morph","false"
"caller-migration","medium","false","review","skill","2","passed","1","0","41647","2217","1428","2","Morph; Parasail","false"
"caller-migration","medium","false","editing","anchored","2","passed","1","0","21376","891","396","2","Morph","false"
"caller-migration","medium","false","review","baseline","2","passed","1","0","25244","1370","3794","1","Parasail","false"
"caller-migration","medium","false","editing","native","2","passed","1","0","7823","545","1115","1","Parasail","false"
"path-boundary","easy","false","review","baseline","2","passed","1","0","14762","771","2486","1","Parasail","false"
"path-boundary","easy","false","editing","native","2","passed","1","0","10512","340","1768","1","Parasail","false"
"path-boundary","easy","false","review","skill","2","passed","1","0","33383","1762","1009","1","Morph; Parasail","false"
"path-boundary","easy","false","editing","anchored","2","passed","1","0","5898","375","966","1","Parasail","false"
"stale-check","medium","false","review","skill","2","passed","1","0","28291","1653","2991","1","Morph; Parasail","false"
"stale-check","medium","false","editing","anchored","2","passed","1","0","21568","581","3836","1","Parasail","false"
"stale-check","medium","false","review","baseline","2","passed","1","0","29250","1311","5594","1","Parasail","false"
"stale-check","medium","false","editing","native","2","passed","1","0","15744","478","2690","1","Parasail","false"
"browser-persistence","medium","false","review","baseline","2","passed","1","0","18435","1296","3221","1","Parasail","false"
"browser-persistence","medium","false","editing","native","2","passed","1","0","25435","541","4289","1","Parasail","false"
"browser-persistence","medium","false","review","skill","2","passed","1","0","94002","2581","4548","1","Morph; Parasail","false"
"browser-persistence","medium","false","editing","anchored","2","passed","1","0","19500","744","2243","1","Parasail","false"
"existing-reuse","easy","false","review","skill","2","passed","1","0","32838","1858","1218","1","Morph; Parasail","false"
"existing-reuse","easy","false","editing","anchored","2","passed","1","0","24932","672","1132","1","Parasail","false"
"existing-reuse","easy","false","review","baseline","2","passed","1","0","17149","1195","1795","1","Parasail","false"
"existing-reuse","easy","false","editing","native","2","passed","1","0","13192","531","1344","1","Parasail","false"
"intentional-interface","easy","true","review","baseline","2","passed","1","0","9168","884","927","1","Parasail","false"
"intentional-interface","easy","true","editing","native","2","passed","1","0","6276","449","535","1","Parasail","false"
"intentional-interface","easy","true","review","skill","2","passed","1","0","20994","1595","660","1","Morph; Parasail","false"
"intentional-interface","easy","true","editing","anchored","2","passed","1","0","2182","608","268","1","Parasail","false"
"unicode-tail","easy","false","review","skill","2","passed","1","0","53440","1750","3295","1","Morph; Parasail","false"
"unicode-tail","easy","false","editing","anchored","2","passed","1","0","31178","400","4020","1","Parasail","false"
"unicode-tail","easy","false","review","baseline","2","passed","1","0","101716","912","7987","1","Parasail; DeepInfra","false"
"unicode-tail","easy","false","editing","native","2","passed","1","0","99141","353","5566","2","Parasail","false"
"stable-sort","easy","false","review","baseline","2","passed","1","0","24346","840","3356","1","Parasail","false"
"stable-sort","easy","false","editing","native","2","passed","1","0","8332","352","1081","1","Parasail","false"
"stable-sort","easy","false","review","skill","2","passed","1","0","27788","1669","2190","1","Morph; Parasail","false"
"stable-sort","easy","false","editing","anchored","2","passed","1","0","12810","397","1764","1","Parasail","false"
"csv-record","medium","false","review","skill","2","passed","1","0","141527","2321","9855","1","Morph; Parasail","false"
"csv-record","medium","false","editing","anchored","2","passed","1","0","95981","410","9626","1","Parasail","false"
"csv-record","medium","false","review","baseline","2","passed","1","0","126029","1201","13963","1","Parasail","false"
"csv-record","medium","false","editing","native","2","passed","1","0","63265","375","7550","1","Parasail","false"
"config-precedence","easy","true","review","baseline","2","passed","1","0","21773","784","2676","1","Parasail","false"
"config-precedence","easy","true","editing","native","2","passed","1","0","3826","399","520","1","Parasail","false"
"config-precedence","easy","true","review","skill","2","passed","1","0","24982","1495","2225","1","Morph; Parasail","false"
"config-precedence","easy","true","editing","anchored","2","passed","1","0","2478","461","356","1","Parasail","false"
"ttl-cache","medium","true","review","skill","2","passed","1","0","59361","2143","1823","1","Morph; Parasail","false"
"ttl-cache","medium","true","editing","anchored","2","passed","1","0","6154","621","1009","1","Parasail","false"
"ttl-cache","medium","true","review","baseline","2","passed","1","0","58995","922","7844","1","Parasail","false"
"ttl-cache","medium","true","editing","native","2","passed","1","0","28561","468","2363","1","Parasail","false"
"inflight-invalidation","hard","false","review","baseline","2","passed","1","0","85181","1609","13587","1","Parasail","false"
"inflight-invalidation","hard","false","editing","native","2","passed","1","0","84224","723","8552","1","Parasail","false"
"inflight-invalidation","hard","false","review","skill","2","passed","1","0","77033","2723","6856","1","Morph; Parasail","false"
"inflight-invalidation","hard","false","editing","anchored","2","passed","1","0","45233","1011","6463","1","Parasail","false"
"once-reentrancy","medium","false","review","skill","2","passed","1","0","111501","2303","8087","1","Morph; Parasail","false"
"once-reentrancy","medium","false","editing","anchored","2","passed","1","0","84924","762","9860","1","Parasail","false"
"once-reentrancy","medium","false","review","baseline","2","passed","1","0","56507","1713","884","4","Morph","false"
"once-reentrancy","medium","false","editing","native","2","failed","1","0","156291","718","686","1","Morph","false"
"bounded-map","hard","false","review","baseline","2","passed","1","0","73869","1786","1325","4","Morph","false"
"bounded-map","hard","false","editing","native","2","passed","1","0","109738","438","11751","1","Parasail","false"
"bounded-map","hard","false","review","skill","2","passed","1","0","135736","2609","1490","1","Morph","false"
"bounded-map","hard","false","editing","anchored","2","passed","1","0","63618","532","9665","1","Parasail","false"
"abort-retry","hard","false","review","skill","2","passed","1","0","129180","2627","9383","1","Morph; Parasail","false"
"abort-retry","hard","false","editing","anchored","2","failed","1","0","137464","570","16384","1","Parasail","true"
"abort-retry","hard","false","review","baseline","2","passed","1","0","113152","1506","13001","1","Parasail","false"
"abort-retry","hard","false","editing","native","2","passed","1","0","40429","457","6311","1","Parasail","false"
"transaction-rollback","hard","false","review","baseline","2","passed","1","0","81827","2183","5211","1","Morph; Parasail","false"
"transaction-rollback","hard","false","editing","native","2","passed","1","0","29759","718","5617","1","Parasail","false"
"transaction-rollback","hard","false","review","skill","2","passed","1","0","73692","3151","5559","1","Morph; Parasail","false"
"transaction-rollback","hard","false","editing","anchored","2","passed","1","0","44673","1008","7521","1","Parasail","false"
"schema-migration","medium","false","review","skill","2","passed","1","0","72512","1923","7561","1","Morph; Parasail","false"
"schema-migration","medium","false","editing","anchored","2","passed","1","0","43268","465","7247","1","Parasail","false"
"schema-migration","medium","false","review","baseline","2","passed","1","0","49385","1432","7569","1","Parasail","false"
"schema-migration","medium","false","editing","native","2","passed","1","0","42387","414","6037","1","Parasail","false"
"canonical-key","medium","false","review","baseline","2","passed","1","0","129926","1203","19755","1","Parasail","false"
"canonical-key","medium","false","editing","native","2","passed","1","0","43358","421","6622","1","Parasail","false"
"canonical-key","medium","false","review","skill","2","passed","1","0","130270","2366","11255","1","Morph; Parasail","false"
"canonical-key","medium","false","editing","anchored","2","passed","1","0","63468","506","8751","1","Parasail","false"
"pagination-merge","medium","false","review","skill","2","passed","1","0","89728","2505","6804","1","Morph; Parasail","false"
"pagination-merge","medium","false","editing","anchored","2","failed","1","0","21652","713","3636","1","Parasail","false"
"pagination-merge","medium","false","review","baseline","2","failed","1","0","58463","1358","8505","1","Parasail","false"
"pagination-merge","medium","false","editing","native","2","passed","1","0","25174","553","4436","1","Parasail","false"
"archive-boundary","medium","false","review","baseline","2","passed","1","0","137566","1309","23954","1","Parasail","false"
"archive-boundary","medium","false","editing","native","2","passed","1","0","70897","417","11693","1","Parasail","false"
"archive-boundary","medium","false","review","skill","2","failed","1","0","135578","2392","17381","1","Morph; Parasail","true"
"archive-boundary","medium","false","editing","anchored","2","passed","1","0","63618","469","9044","1","Parasail","false"
"stream-lines","hard","false","review","skill","2","passed","1","0","131359","2554","16829","1","Morph; Parasail","false"
"stream-lines","hard","false","editing","anchored","2","passed","1","0","53650","628","9443","1","Parasail","false"
"stream-lines","hard","false","review","baseline","2","passed","1","0","115657","1665","18854","1","Parasail","false"
"stream-lines","hard","false","editing","native","2","passed","1","0","72311","498","12899","1","Parasail","false"
"tenant-cache","hard","false","review","baseline","2","passed","1","0","155764","1942","21590","1","Parasail","false"
"tenant-cache","hard","false","editing","native","2","passed","1","0","77298","690","14944","1","Parasail","false"
"tenant-cache","hard","false","review","skill","2","passed","1","0","100588","3243","9641","1","Morph; Parasail","false"
"tenant-cache","hard","false","editing","anchored","2","passed","1","0","64907","902","8908","1","Parasail","false"
"public-hooks","medium","true","review","skill","2","passed","1","0","13113","1631","1415","1","Morph; Parasail","false"
"public-hooks","medium","true","editing","anchored","2","passed","1","0","4602","610","698","1","Parasail","false"
"public-hooks","medium","true","review","baseline","2","passed","1","0","25155","920","3116","1","Parasail","false"
"public-hooks","medium","true","editing","native","2","passed","1","0","59397","467","8247","1","Parasail","false"
"lazy-iterator","hard","false","review","baseline","2","failed","1","0","169771","1338","27570","1","Parasail","false"
"lazy-iterator","hard","false","editing","native","2","failed","1","0","96206","498","14727","1","Parasail","false"
"lazy-iterator","hard","false","review","skill","2","failed","1","0","65493","2015","8718","1","Morph; Parasail","false"
"lazy-iterator","hard","false","editing","anchored","2","failed","1","0","108071","659","16384","1","Parasail","true"
"browser-search-race","hard","false","review","skill","2","passed","1","0","79512","3013","5245","1","Morph; Parasail","false"
"browser-search-race","hard","false","editing","anchored","2","passed","1","0","26631","967","5221","1","Parasail","false"
"browser-search-race","hard","false","review","baseline","2","passed","1","0","71815","1791","11146","1","Parasail","false"
"browser-search-race","hard","false","editing","native","2","passed","1","0","61283","681","9043","1","Parasail","false"
"browser-storage-failure","medium","false","review","baseline","2","passed","1","0","49190","1611","8540","1","Parasail","false"
"browser-storage-failure","medium","false","editing","native","2","passed","1","0","36873","682","5864","1","Parasail","false"
"browser-storage-failure","medium","false","review","skill","2","passed","1","0","56577","2810","5623","1","Morph; Parasail","false"
"browser-storage-failure","medium","false","editing","anchored","2","passed","1","0","24908","958","4612","1","Parasail","false"
"repo-output-streams","hard","false","review","skill","2","passed","1","0","157120","14313","14693","1","Morph; Parasail","false"
"repo-output-streams","hard","false","editing","anchored","2","passed","1","0","80290","12171","13766","1","Parasail","false"
"repo-output-streams","hard","false","review","baseline","2","failed","0","0","93069","5856","16384","1","Parasail","true"
"repo-output-streams","hard","false","editing","native","2","passed","1","0","55490","5870","8116","1","Parasail","false"
"repo-slot-admission","hard","false","review","baseline","2","passed","1","0","62962","11931","9105","1","Parasail","false"
"repo-slot-admission","hard","false","editing","native","2","passed","1","0","7814","5867","1601","1","Parasail","false"
"repo-slot-admission","hard","false","review","skill","2","failed","1","0","114015","12997","17188","1","Morph; Parasail","true"
"repo-slot-admission","hard","false","editing","anchored","2","passed","1","0","16095","12169","2522","1","Parasail","false"
"repo-receipt-freshness","hard","false","review","skill","2","passed","1","0","61306","19714","4847","1","Morph; Parasail","false"
"repo-receipt-freshness","hard","false","editing","anchored","2","passed","1","0","14825","19521","2529","1","Parasail","false"
"repo-receipt-freshness","hard","false","review","baseline","2","passed","1","0","96349","18745","15765","1","Parasail","false"
"repo-receipt-freshness","hard","false","editing","native","2","passed","1","0","12836","9306","1736","1","Parasail","false"
"repo-command-redaction","hard","false","review","baseline","2","passed","1","0","86576","3080","12653","1","Parasail","false"
"repo-command-redaction","hard","false","editing","native","2","passed","1","0","89004","1442","10924","1","Parasail","false"
"repo-command-redaction","hard","false","review","skill","2","passed","1","0","80387","4456","5819","1","Morph; Parasail","false"
"repo-command-redaction","hard","false","editing","anchored","2","passed","1","0","85591","2600","9070","1","Parasail","false"
"page-boundary","easy","false","review","baseline","3","passed","1","0","9162","775","1377","1","Parasail","false"
"page-boundary","easy","false","editing","native","3","passed","1","0","3628","347","497","1","Parasail","false"
"page-boundary","easy","false","review","skill","3","passed","1","0","48042","1829","1777","1","Morph; Parasail","false"
"page-boundary","easy","false","editing","anchored","3","passed","1","0","6409","412","978","1","Parasail","false"
"explicit-zero","easy","false","review","skill","3","passed","1","0","19063","1615","825","1","Morph; Parasail","false"
"explicit-zero","easy","false","editing","anchored","3","passed","1","0","18214","398","3011","1","Parasail","false"
"explicit-zero","easy","false","review","baseline","3","passed","1","0","7690","800","1087","1","Parasail","false"
"explicit-zero","easy","false","editing","native","3","passed","1","0","4593","344","723","1","Parasail","false"
"caller-migration","medium","false","review","baseline","3","passed","1","0","27372","1382","3644","1","Parasail","false"
"caller-migration","medium","false","editing","native","3","passed","1","0","8152","545","1271","1","Parasail","false"
"caller-migration","medium","false","review","skill","3","passed","1","0","36686","2292","2211","1","Morph; Parasail","false"
"caller-migration","medium","false","editing","anchored","3","passed","1","0","14765","696","1847","1","Parasail","false"
"path-boundary","easy","false","review","skill","3","passed","1","0","25962","1705","1038","1","Morph; Parasail","false"
"path-boundary","easy","false","editing","anchored","3","failed","1","0","120999","375","16384","1","Parasail","true"
"path-boundary","easy","false","review","baseline","3","passed","1","0","25831","814","3846","1","Parasail","false"
"path-boundary","easy","false","editing","native","3","passed","1","0","18851","340","2525","1","Parasail","false"
"stale-check","medium","false","review","baseline","3","passed","1","0","42146","1189","5306","1","Parasail","false"
"stale-check","medium","false","editing","native","3","passed","1","0","22691","478","2992","1","Parasail","false"
"stale-check","medium","false","review","skill","3","passed","1","0","40893","2013","2242","1","Morph; Parasail","false"
"stale-check","medium","false","editing","anchored","3","passed","1","0","14757","581","2206","1","Parasail","false"
"browser-persistence","medium","false","review","skill","3","passed","1","0","35366","2098","3077","1","Morph; Parasail","false"
"browser-persistence","medium","false","editing","anchored","3","passed","1","0","25455","744","3795","1","Parasail","false"
"browser-persistence","medium","false","review","baseline","3","passed","1","0","64083","1415","9443","1","Parasail","false"
"browser-persistence","medium","false","editing","native","3","passed","1","0","20378","541","3067","1","Parasail","false"
"existing-reuse","easy","false","review","baseline","3","passed","1","0","9272","1188","1295","1","Parasail","false"
"existing-reuse","easy","false","editing","native","3","passed","1","0","8865","531","1428","1","Parasail","false"
"existing-reuse","easy","false","review","skill","3","passed","1","0","13964","1956","1052","1","Morph; Parasail","false"
"existing-reuse","easy","false","editing","anchored","3","passed","1","0","7005","672","1027","1","Parasail","false"
"intentional-interface","easy","true","review","skill","3","passed","1","0","15514","1595","1564","1","Morph; Parasail","false"
"intentional-interface","easy","true","editing","anchored","3","passed","1","0","2549","608","328","1","Parasail","false"
"intentional-interface","easy","true","review","baseline","3","passed","1","0","10057","884","1272","1","Parasail","false"
"intentional-interface","easy","true","editing","native","3","passed","1","0","3354","449","413","1","Parasail","false"
"unicode-tail","easy","false","review","baseline","3","passed","1","0","79110","985","9626","1","Parasail","false"
"unicode-tail","easy","false","editing","native","3","failed","1","0","145803","353","16384","1","Parasail","true"
"unicode-tail","easy","false","review","skill","3","passed","1","0","189310","2255","1076","1","Morph","false"
"unicode-tail","easy","false","editing","anchored","3","passed","1","0","40318","400","2512","1","Parasail","false"
"stable-sort","easy","false","review","skill","3","passed","1","0","52262","1647","3249","2","Morph; Parasail","false"
"stable-sort","easy","false","editing","anchored","3","passed","1","0","7454","592","238","1","Morph","false"
"stable-sort","easy","false","review","baseline","3","passed","1","0","22923","805","1563","2","Parasail","false"
"stable-sort","easy","false","editing","native","3","passed","1","0","17267","352","1073","1","Parasail","false"
"csv-record","medium","false","review","baseline","3","passed","1","0","78219","1190","13541","2","Parasail","false"
