task,difficulty,negativeControl,experiment,condition,repetition,acceptance,editRounds,editRejections,modelMs,inputTokens,outputTokens
"archive-boundary","medium","false","review","baseline","1","passed","1","0","39308","31009","671"
"stream-lines","hard","false","review","baseline","1","passed","1","0","41451","31244","1054"
"stream-lines","hard","false","review","skill","1","passed","1","0","50491","31835","1251"
"tenant-cache","hard","false","review","skill","1","passed","1","0","42211","32205","1027"
"tenant-cache","hard","false","review","baseline","1","passed","1","0","44303","31599","965"
"public-hooks","medium","true","review","baseline","1","passed","1","0","16008","30845","128"
"public-hooks","medium","true","review","skill","1","passed","1","0","15572","31400","182"
"lazy-iterator","hard","false","review","skill","1","passed","1","0","28643","31575","538"
"lazy-iterator","hard","false","review","baseline","1","passed","1","0","28172","31024","519"
"browser-search-race","hard","false","review","baseline","1","passed","1","0","38171","31603","843"
"browser-search-race","hard","false","review","skill","1","passed","1","0","49794","32223","1076"
"browser-storage-failure","medium","false","review","skill","1","passed","1","0","27505","36453","594"
"browser-storage-failure","medium","false","review","baseline","1","passed","1","0","29008","31468","474"
"repo-output-streams","hard","false","review","baseline","1","passed","1","0","26440","41040","500"
"repo-output-streams","hard","false","review","skill","1","passed","1","0","32163","41574","553"
"repo-slot-admission","hard","false","review","skill","1","passed","1","0","22557","41510","344"
"repo-slot-admission","hard","false","review","baseline","1","passed","1","0","19955","40939","271"
"repo-receipt-freshness","hard","false","review","baseline","1","passed","1","0","18107","47770","295"
"repo-receipt-freshness","hard","false","review","skill","1","passed","1","0","25348","48363","424"
"repo-command-redaction","hard","false","review","skill","1","passed","1","0","86244","33319","1201"
"repo-command-redaction","hard","false","review","baseline","1","passed","1","0","38642","32752","707"
"page-boundary","easy","false","review","skill","2","passed","1","0","21759","31282","273"
"page-boundary","easy","false","review","baseline","2","passed","1","0","16169","30708","226"
"explicit-zero","easy","false","review","baseline","2","passed","1","0","17504","30688","205"
"explicit-zero","easy","false","review","skill","2","passed","1","0","17504","31255","270"
"caller-migration","medium","false","review","skill","2","passed","1","0","21727","31695","428"
"caller-migration","medium","false","review","baseline","2","passed","1","0","27447","31213","402"
"path-boundary","easy","false","review","baseline","2","passed","1","0","15970","30687","176"
"path-boundary","easy","false","review","skill","2","passed","1","0","18256","31248","260"
"stale-check","medium","false","review","skill","2","passed","1","0","25817","31524","416"
"stale-check","medium","false","review","baseline","2","passed","1","0","26387","30948","323"
"browser-persistence","medium","false","review","baseline","2","passed","1","0","25880","35530","460"
"browser-persistence","medium","false","review","skill","2","passed","1","0","30237","31708","556"
"existing-reuse","easy","false","review","skill","2","passed","1","0","16871","31633","270"
"existing-reuse","easy","false","review","baseline","2","passed","1","0","16002","31073","243"
"intentional-interface","easy","true","review","baseline","2","passed","1","0","12793","30815","74"
"intentional-interface","easy","true","review","skill","2","passed","1","0","18950","31370","131"
"unicode-tail","easy","false","review","skill","2","passed","1","0","26443","31365","510"
"unicode-tail","easy","false","review","baseline","2","passed","1","0","21701","30794","407"
"stable-sort","easy","false","review","baseline","2","passed","1","0","18888","30732","215"
"stable-sort","easy","false","review","skill","2","passed","1","0","23392","31304","315"
"csv-record","medium","false","review","skill","2","passed","1","0","44928","31452","799"
"csv-record","medium","false","review","baseline","2","passed","1","0","41153","30877","821"
"config-precedence","easy","true","review","baseline","2","passed","1","0","15493","30723","112"
"config-precedence","easy","true","review","skill","2","passed","1","0","19607","31278","177"
"ttl-cache","medium","true","review","skill","2","passed","1","0","17785","31404","214"
"ttl-cache","medium","true","review","baseline","2","passed","1","0","15760","30849","144"
"inflight-invalidation","hard","false","review","baseline","2","passed","1","0","25063","31543","392"
"inflight-invalidation","hard","false","review","skill","2","passed","1","0","34114","32046","524"
"once-reentrancy","medium","false","review","skill","2","passed","1","0","28043","31767","604"
"once-reentrancy","medium","false","review","baseline","2","passed","1","0","37680","31282","550"
"bounded-map","hard","false","review","baseline","2","passed","1","0","51267","31098","705"
"bounded-map","hard","false","review","skill","2","passed","1","0","37614","31610","928"
"abort-retry","hard","false","review","skill","2","passed","1","0","49325","31671","1271"
"abort-retry","hard","false","review","baseline","2","passed","1","0","47054","31063","1213"
"transaction-rollback","hard","false","review","baseline","2","passed","1","0","31614","31526","680"
"transaction-rollback","hard","false","review","skill","2","passed","1","0","33747","32163","764"
"schema-migration","medium","false","review","skill","2","passed","1","0","42324","36081","956"
"schema-migration","medium","false","review","baseline","2","passed","1","0","30126","35442","647"
"canonical-key","medium","false","review","baseline","2","passed","1","0","44955","31023","664"
"canonical-key","medium","false","review","skill","2","passed","1","0","34508","31562","704"
"pagination-merge","medium","false","review","skill","2","passed","1","0","26331","31821","630"
"pagination-merge","medium","false","review","baseline","2","passed","1","0","29097","31206","589"
"archive-boundary","medium","false","review","baseline","2","passed","1","0","33757","30913","671"
"archive-boundary","medium","false","review","skill","2","passed","1","0","37911","31529","758"
"stream-lines","hard","false","review","skill","2","passed","1","0","43058","31800","1086"
"stream-lines","hard","false","review","baseline","2","passed","1","0","51386","31220","1243"
"tenant-cache","hard","false","review","baseline","2","passed","1","0","51649","31618","981"
"tenant-cache","hard","false","review","skill","2","passed","1","0","44021","32212","965"
"public-hooks","medium","true","review","skill","2","passed","1","0","16940","31400","194"
"public-hooks","medium","true","review","baseline","2","passed","1","0","13801","30845","124"
"lazy-iterator","hard","false","review","baseline","2","passed","1","0","28939","31000","503"
"lazy-iterator","hard","false","review","skill","2","passed","1","0","28082","31579","545"
"browser-search-race","hard","false","review","skill","2","passed","1","0","41114","32200","932"
"browser-search-race","hard","false","review","baseline","2","passed","1","0","33458","31587","820"
"browser-storage-failure","medium","false","review","baseline","2","passed","1","0","32494","31485","500"
"browser-storage-failure","medium","false","review","skill","2","passed","1","0","32503","32070","679"
"repo-output-streams","hard","false","review","skill","2","passed","1","0","30428","45919","529"
"repo-output-streams","hard","false","review","baseline","2","passed","1","0","28120","45424","434"
"repo-slot-admission","hard","false","review","baseline","2","passed","1","0","20051","49709","253"
"repo-slot-admission","hard","false","review","skill","2","passed","1","0","22743","41507","348"
"repo-receipt-freshness","hard","false","review","skill","2","passed","1","0","31678","48355","412"
"repo-receipt-freshness","hard","false","review","baseline","2","passed","1","0","19263","47784","305"
"repo-command-redaction","hard","false","review","baseline","2","passed","1","0","34892","32735","790"
"repo-command-redaction","hard","false","review","skill","2","passed","1","0","42531","33322","875"
"page-boundary","easy","false","review","baseline","3","passed","1","0","17486","30719","244"
"page-boundary","easy","false","review","skill","3","passed","1","0","18829","31289","274"
"explicit-zero","easy","false","review","skill","3","passed","1","0","25957","31256","271"
"explicit-zero","easy","false","review","baseline","3","passed","1","0","17681","30690","205"
"caller-migration","medium","false","review","baseline","3","passed","1","0","21636","31214","402"
"caller-migration","medium","false","review","skill","3","passed","1","0","23155","31710","459"
"path-boundary","easy","false","review","skill","3","passed","1","0","24253","35646","236"
"path-boundary","easy","false","review","baseline","3","passed","1","0","18837","35079","210"
"stale-check","medium","false","review","baseline","3","passed","1","0","21690","30954","331"
"stale-check","medium","false","review","skill","3","passed","1","0","20148","31523","401"
"browser-persistence","medium","false","review","skill","3","passed","1","0","32688","31714","629"
"browser-persistence","medium","false","review","baseline","3","passed","1","0","26197","31153","537"
"existing-reuse","easy","false","review","baseline","3","passed","1","0","20441","31064","237"
"existing-reuse","easy","false","review","skill","3","passed","1","0","20113","31637","317"
"intentional-interface","easy","true","review","skill","3","passed","1","0","16400","31370","147"
"intentional-interface","easy","true","review","baseline","3","passed","1","0","15242","30815","106"
"unicode-tail","easy","false","review","baseline","3","passed","1","0","23590","30794","472"
"unicode-tail","easy","false","review","skill","3","passed","1","0","25442","31347","442"
"stable-sort","easy","false","review","skill","3","passed","1","0","15530","31316","269"
"stable-sort","easy","false","review","baseline","3","passed","1","0","17596","30737","224"
"csv-record","medium","false","review","baseline","3","passed","1","0","30760","30875","685"
"csv-record","medium","false","review","skill","3","passed","1","0","33159","31416","745"
"config-precedence","easy","true","review","skill","3","passed","1","0","14544","31278","170"
"config-precedence","easy","true","review","baseline","3","passed","1","0","15124","30723","142"
"ttl-cache","medium","true","review","baseline","3","passed","1","0","12106","30849","144"
"ttl-cache","medium","true","review","skill","3","passed","1","0","19631","31404","230"
"inflight-invalidation","hard","false","review","skill","3","passed","1","0","30368","36453","569"
"inflight-invalidation","hard","false","review","baseline","3","passed","1","0","24333","35888","479"
"once-reentrancy","medium","false","review","baseline","3","passed","1","0","29604","31196","590"
"once-reentrancy","medium","false","review","skill","3","passed","1","0","34317","31790","732"
"bounded-map","hard","false","review","skill","3","passed","1","0","38022","31637","933"
"bounded-map","hard","false","review","baseline","3","passed","1","0","37361","35421","838"
"abort-retry","hard","false","review","baseline","3","passed","1","0","39090","31064","989"
"abort-retry","hard","false","review","skill","3","passed","1","0","49372","31674","1217"
"transaction-rollback","hard","false","review","skill","3","passed","1","0","42346","32148","803"
"transaction-rollback","hard","false","review","baseline","3","passed","1","0","40244","35930","613"
"schema-migration","medium","false","review","baseline","3","passed","1","0","35477","31050","823"
"schema-migration","medium","false","review","skill","3","passed","1","0","32954","31613","777"
"canonical-key","medium","false","review","skill","3","passed","1","0","32326","31571","672"
"canonical-key","medium","false","review","baseline","3","passed","1","0","30759","30960","605"
"pagination-merge","medium","false","review","baseline","3","passed","1","0","34398","31209","598"
"pagination-merge","medium","false","review","skill","3","passed","1","0","33746","31823","702"
"archive-boundary","medium","false","review","skill","3","passed","1","0","39386","31477","684"
"archive-boundary","medium","false","review","baseline","3","passed","1","0","37502","30933","603"
"stream-lines","hard","false","review","baseline","3","passed","1","0","46954","31205","1157"
"stream-lines","hard","false","review","skill","3","passed","1","0","44126","36195","1118"
"tenant-cache","hard","false","review","skill","3","passed","1","0","44332","32214","1047"
"tenant-cache","hard","false","review","baseline","3","passed","1","0","37344","36002","878"
"public-hooks","medium","true","review","baseline","3","passed","1","0","16028","30845","102"
"public-hooks","medium","true","review","skill","3","passed","1","0","17332","31400","180"
"lazy-iterator","hard","false","review","skill","3","passed","1","0","29637","31576","554"
"lazy-iterator","hard","false","review","baseline","3","passed","1","0","28801","31019","501"
"browser-search-race","hard","false","review","baseline","3","passed","1","0","32630","31590","802"
"browser-search-race","hard","false","review","skill","3","passed","1","0","42974","32221","1033"
"browser-storage-failure","medium","false","review","skill","3","passed","1","0","29791","32072","681"
"browser-storage-failure","medium","false","review","baseline","3","passed","1","0","25002","31460","465"
"repo-output-streams","hard","false","review","baseline","3","passed","1","0","26227","41034","473"
"repo-output-streams","hard","false","review","skill","3","passed","1","0","25991","41594","571"
"repo-slot-admission","hard","false","review","skill","3","passed","1","0","21240","45892","354"
"repo-slot-admission","hard","false","review","baseline","3","passed","1","0","21058","40921","269"
"repo-receipt-freshness","hard","false","review","baseline","3","passed","1","0","22751","47783","322"
"repo-receipt-freshness","hard","false","review","skill","3","passed","1","0","28088","48348","462"
"repo-command-redaction","hard","false","review","skill","3","passed","1","0","31274","33316","724"
"repo-command-redaction","hard","false","review","baseline","3","passed","1","0","29769","37140","651"
"page-boundary","easy","false","editing","native","1","passed","1","0","7197","15319","86"
"page-boundary","easy","false","editing","anchored","1","passed","1","0","8933","15402","148"
"explicit-zero","easy","false","editing","anchored","1","passed","1","0","8506","15376","134"
"explicit-zero","easy","false","editing","native","1","passed","1","0","5719","15309","70"
"caller-migration","medium","false","editing","native","1","passed","1","0","9113","15511","175"
"caller-migration","medium","false","editing","anchored","1","passed","1","0","15196","15680","302"
"path-boundary","easy","false","editing","anchored","1","passed","1","0","10665","15365","125"
"path-boundary","easy","false","editing","native","1","passed","1","0","6979","15312","81"
"stale-check","medium","false","editing","native","1","passed","1","0","12642","15441","256"
"stale-check","medium","false","editing","anchored","1","passed","1","0","14668","15558","243"
"browser-persistence","medium","false","editing","anchored","1","passed","1","0","11309","15712","243"
"browser-persistence","medium","false","editing","native","1","passed","1","0","15371","15502","320"
"existing-reuse","easy","false","editing","native","1","passed","1","0","13568","15491","121"
"existing-reuse","easy","false","editing","anchored","1","passed","1","0","8987","15649","143"
"intentional-interface","easy","true","editing","anchored","1","passed","1","0","5017","15586","45"
"intentional-interface","easy","true","editing","native","1","passed","1","0","5498","15414","50"
"unicode-tail","easy","false","editing","native","1","passed","1","0","11838","15325","264"
"unicode-tail","easy","false","editing","anchored","1","passed","1","0","13993","15389","242"
"stable-sort","easy","false","editing","anchored","1","passed","1","0","8190","15383","133"
"stable-sort","easy","false","editing","native","1","passed","1","0","7573","15322","97"
"csv-record","medium","false","editing","native","1","passed","1","0","20806","15343","526"
"csv-record","medium","false","editing","anchored","1","passed","1","0","21842","15395","528"
"config-precedence","easy","true","editing","anchored","1","passed","1","0","5728","15446","67"
"config-precedence","easy","true","editing","native","1","passed","1","0","6450","15368","68"
"ttl-cache","medium","true","editing","native","1","passed","1","0","7860","15431","87"
"ttl-cache","medium","true","editing","anchored","1","passed","1","0","7223","15598","92"
"inflight-invalidation","hard","false","editing","anchored","1","passed","1","0","11682","15979","253"
"inflight-invalidation","hard","false","editing","native","1","passed","1","0","12599","15678","269"
"once-reentrancy","medium","false","editing","native","1","passed","1","0","15569","15513","333"
"once-reentrancy","medium","false","editing","anchored","1","passed","1","0","15991","15731","352"
"bounded-map","hard","false","editing","anchored","1","passed","1","0","17297","15514","448"
"bounded-map","hard","false","editing","native","1","passed","1","0","19162","15405","494"
"abort-retry","hard","false","editing","native","1","passed","1","0","32650","15424","824"
"abort-retry","hard","false","editing","anchored","1","passed","1","0","29168","15553","678"
"transaction-rollback","hard","false","editing","anchored","1","passed","1","0","15342","20365","354"
"transaction-rollback","hard","false","editing","native","1","passed","1","0","18088","15671","396"
"schema-migration","medium","false","editing","native","1","passed","1","0","16163","15381","354"
"schema-migration","medium","false","editing","anchored","1","passed","1","0","17289","15448","362"
"canonical-key","medium","false","editing","anchored","1","passed","1","0","13366","15492","269"
"canonical-key","medium","false","editing","native","1","passed","1","0","15451","15391","283"
"pagination-merge","medium","false","editing","native","1","passed","1","0","14647","15511","293"
"pagination-merge","medium","false","editing","anchored","1","passed","1","0","15908","15685","363"
"archive-boundary","medium","false","editing","anchored","1","passed","1","0","15913","15451","333"
"archive-boundary","medium","false","editing","native","1","passed","1","0","16149","15384","337"
"stream-lines","hard","false","editing","native","1","passed","1","0","34927","15462","903"
"stream-lines","hard","false","editing","anchored","1","passed","1","0","31431","15608","764"
"tenant-cache","hard","false","editing","anchored","1","passed","1","0","19794","15869","450"
"tenant-cache","hard","false","editing","native","1","passed","1","0","20880","15659","514"
"public-hooks","medium","true","editing","native","1","passed","1","0","7460","15429","72"
"public-hooks","medium","true","editing","anchored","1","passed","1","0","8059","15586","74"
"lazy-iterator","hard","false","editing","anchored","1","passed","1","0","15700","15643","379"
"lazy-iterator","hard","false","editing","native","1","passed","1","0","16221","15467","341"
"browser-search-race","hard","false","editing","native","1","passed","1","0","16783","15641","430"
"browser-search-race","hard","false","editing","anchored","1","passed","1","0","17351","15936","364"
"browser-storage-failure","medium","false","editing","anchored","1","passed","1","0","14833","15914","281"
"browser-storage-failure","medium","false","editing","native","1","passed","1","0","12278","15636","275"
"repo-output-streams","hard","false","editing","native","1","passed","1","0","12545","20421","196"
"repo-output-streams","hard","false","editing","anchored","1","passed","1","0","13136","26379","213"
"repo-slot-admission","hard","false","editing","anchored","1","passed","1","0","9198","26378","164"
"repo-slot-admission","hard","false","editing","native","1","passed","1","0","8091","20418","125"
"repo-receipt-freshness","hard","false","editing","native","1","passed","1","0","8739","23836","145"
"repo-receipt-freshness","hard","false","editing","anchored","1","passed","1","0","9700","33453","171"
"repo-command-redaction","hard","false","editing","anchored","1","passed","1","0","23322","17389","634"
"repo-command-redaction","hard","false","editing","native","1","passed","1","0","18933","16310","502"
"page-boundary","easy","false","editing","anchored","2","passed","1","0","10298","15402","146"
"page-boundary","easy","false","editing","native","2","passed","1","0","7270","15319","86"
"explicit-zero","easy","false","editing","native","2","passed","1","0","7766","15309","107"
"explicit-zero","easy","false","editing","anchored","2","passed","1","0","8473","15376","136"
"caller-migration","medium","false","editing","anchored","2","passed","1","0","13921","15680","302"
"caller-migration","medium","false","editing","native","2","passed","1","0","9072","15511","182"
"path-boundary","easy","false","editing","native","2","passed","1","0","9825","19706","82"
"path-boundary","easy","false","editing","anchored","2","passed","1","0","11728","15365","125"
"stale-check","medium","false","editing","anchored","2","passed","1","0","10455","15558","200"
"stale-check","medium","false","editing","native","2","passed","1","0","10072","15441","181"
"browser-persistence","medium","false","editing","native","2","passed","1","0","14533","15502","334"
"browser-persistence","medium","false","editing","anchored","2","passed","1","0","11748","15712","244"
"existing-reuse","easy","false","editing","anchored","2","passed","1","0","9580","15649","145"
"existing-reuse","easy","false","editing","native","2","passed","1","0","8573","15491","122"
"intentional-interface","easy","true","editing","native","2","passed","1","0","11590","15414","44"
"intentional-interface","easy","true","editing","anchored","2","passed","1","0","5404","15586","55"
"unicode-tail","easy","false","editing","anchored","2","passed","1","0","12363","15389","243"
"unicode-tail","easy","false","editing","native","2","passed","1","0","12439","15325","270"
"stable-sort","easy","false","editing","native","2","passed","1","0","7466","15322","98"
"stable-sort","easy","false","editing","anchored","2","passed","1","0","7484","15383","132"
"csv-record","medium","false","editing","anchored","2","passed","1","0","21748","15395","548"
"csv-record","medium","false","editing","native","2","passed","1","0","19464","15343","488"
"config-precedence","easy","true","editing","native","2","passed","1","0","7627","15368","69"
"config-precedence","easy","true","editing","anchored","2","passed","1","0","8166","15446","78"
"ttl-cache","medium","true","editing","anchored","2","passed","1","0","7033","15598","91"
"ttl-cache","medium","true","editing","native","2","passed","1","0","10328","15431","89"
"inflight-invalidation","hard","false","editing","native","2","passed","1","0","18954","15678","251"
"inflight-invalidation","hard","false","editing","anchored","2","passed","1","0","12239","15979","220"
"once-reentrancy","medium","false","editing","anchored","2","passed","1","0","15090","15731","365"
"once-reentrancy","medium","false","editing","native","2","passed","1","0","20508","15513","440"
"bounded-map","hard","false","editing","native","2","passed","1","0","25011","15405","540"
"bounded-map","hard","false","editing","anchored","2","passed","1","0","21055","19908","493"
"abort-retry","hard","false","editing","anchored","2","passed","1","0","31717","15553","819"
"abort-retry","hard","false","editing","native","2","passed","1","0","35470","15424","814"
"transaction-rollback","hard","false","editing","native","2","passed","1","0","27414","15671","395"
"transaction-rollback","hard","false","editing","anchored","2","passed","1","0","14928","15971","356"
"schema-migration","medium","false","editing","anchored","2","passed","1","0","15411","15448","350"
"schema-migration","medium","false","editing","native","2","passed","1","0","16033","15381","330"
"canonical-key","medium","false","editing","native","2","passed","1","0","17166","15391","299"
"canonical-key","medium","false","editing","anchored","2","passed","1","0","12662","15492","279"
"pagination-merge","medium","false","editing","anchored","2","passed","1","0","18408","15685","455"
"pagination-merge","medium","false","editing","native","2","passed","1","0","17005","15511","368"
"archive-boundary","medium","false","editing","native","2","passed","1","0","16065","15384","366"
"archive-boundary","medium","false","editing","anchored","2","passed","1","0","14184","15451","364"
"stream-lines","hard","false","editing","anchored","2","passed","1","0","18357","15621","486"
"stream-lines","hard","false","editing","native","2","passed","1","0","26124","15462","713"
"tenant-cache","hard","false","editing","native","2","passed","1","0","20821","15646","517"
"tenant-cache","hard","false","editing","anchored","2","passed","1","0","22326","15869","496"
"public-hooks","medium","true","editing","anchored","2","passed","1","0","5877","15586","58"
"public-hooks","medium","true","editing","native","2","passed","1","0","8272","15429","75"
"lazy-iterator","hard","false","editing","native","2","passed","1","0","24819","15467","438"
"lazy-iterator","hard","false","editing","anchored","2","passed","1","0","14707","15643","332"
"browser-search-race","hard","false","editing","anchored","2","passed","1","0","17619","15936","433"
"browser-search-race","hard","false","editing","native","2","passed","1","0","17346","15641","433"
"browser-storage-failure","medium","false","editing","native","2","passed","1","0","13260","15636","270"
"browser-storage-failure","medium","false","editing","anchored","2","passed","1","0","12726","15914","276"
"repo-output-streams","hard","false","editing","anchored","2","passed","1","0","10631","26379","200"
"repo-output-streams","hard","false","editing","native","2","passed","1","0","9881","20421","201"
"repo-slot-admission","hard","false","editing","native","2","passed","1","0","9441","20418","124"
"repo-slot-admission","hard","false","editing","anchored","2","passed","1","0","8734","26378","151"
"repo-receipt-freshness","hard","false","editing","anchored","2","passed","1","0","11647","33453","183"
"repo-receipt-freshness","hard","false","editing","native","2","passed","1","0","10075","23836","163"
"repo-command-redaction","hard","false","editing","native","2","passed","1","0","20568","16310","506"
"repo-command-redaction","hard","false","editing","anchored","2","passed","1","0","31851","17389","773"
"page-boundary","easy","false","editing","native","3","passed","1","0","6936","15319","86"
"page-boundary","easy","false","editing","anchored","3","passed","1","0","9091","15402","145"
"explicit-zero","easy","false","editing","anchored","3","passed","1","0","8968","15376","136"
"explicit-zero","easy","false","editing","native","3","passed","1","0","7213","15309","102"
"caller-migration","medium","false","editing","native","3","passed","1","0","10343","15511","177"
"caller-migration","medium","false","editing","anchored","3","passed","1","0","12543","15680","297"
"path-boundary","easy","false","editing","anchored","3","passed","1","0","7970","15365","124"
"path-boundary","easy","false","editing","native","3","passed","1","0","7444","15312","81"
"stale-check","medium","false","editing","native","3","passed","1","0","12426","15441","240"
"stale-check","medium","false","editing","anchored","3","passed","1","0","13412","15558","234"
"browser-persistence","medium","false","editing","anchored","3","passed","1","0","14317","15712","240"
"browser-persistence","medium","false","editing","native","3","passed","1","0","13202","15502","297"
"existing-reuse","easy","false","editing","native","3","passed","1","0","9579","15491","120"
"existing-reuse","easy","false","editing","anchored","3","passed","1","0","7998","15649","147"
"intentional-interface","easy","true","editing","anchored","3","passed","1","0","8220","15586","60"
"intentional-interface","easy","true","editing","native","3","passed","1","0","5995","15414","54"
"unicode-tail","easy","false","editing","native","3","passed","1","0","13205","15325","272"
"unicode-tail","easy","false","editing","anchored","3","passed","1","0","12534","15389","270"
"stable-sort","easy","false","editing","anchored","3","passed","1","0","10973","19777","130"
"stable-sort","easy","false","editing","native","3","passed","1","0","7929","19716","97"
"csv-record","medium","false","editing","native","3","passed","1","0","19893","15343","493"
"csv-record","medium","false","editing","anchored","3","passed","1","0","20848","15395","494"
"config-precedence","easy","true","editing","anchored","3","passed","1","0","7622","15446","91"
"config-precedence","easy","true","editing","native","3","passed","1","0","9540","15368","76"
"ttl-cache","medium","true","editing","native","3","passed","1","0","11090","15431","90"
"ttl-cache","medium","true","editing","anchored","3","passed","1","0","7632","15598","78"
"inflight-invalidation","hard","false","editing","anchored","3","passed","1","0","12205","15979","231"
"inflight-invalidation","hard","false","editing","native","3","passed","1","0","14355","15678","243"
"once-reentrancy","medium","false","editing","native","3","passed","1","0","18123","15513","463"
"once-reentrancy","medium","false","editing","anchored","3","passed","1","0","18346","15731","348"
"bounded-map","hard","false","editing","anchored","3","passed","1","0","17951","15514","441"
"bounded-map","hard","false","editing","native","3","passed","1","0","20300","15405","501"
"abort-retry","hard","false","editing","native","3","passed","1","0","36656","15424","803"
"abort-retry","hard","false","editing","anchored","3","passed","1","0","28124","15553","677"
"transaction-rollback","hard","false","editing","anchored","3","passed","1","0","28820","15971","350"
"transaction-rollback","hard","false","editing","native","3","passed","1","0","19172","15671","511"
"schema-migration","medium","false","editing","native","3","passed","1","0","22203","15381","375"
"schema-migration","medium","false","editing","anchored","3","passed","1","0","19110","15448","410"
"canonical-key","medium","false","editing","anchored","3","passed","1","0","12009","15492","231"
"canonical-key","medium","false","editing","native","3","passed","1","0","14453","15391","270"
"pagination-merge","medium","false","editing","native","3","passed","1","0","16304","15511","359"
"pagination-merge","medium","false","editing","anchored","3","passed","1","0","18770","15685","444"
"archive-boundary","medium","false","editing","anchored","3","passed","1","0","15083","15451","391"
"archive-boundary","medium","false","editing","native","3","passed","1","0","18850","15384","370"
"stream-lines","hard","false","editing","native","3","passed","1","0","28622","15462","705"
"stream-lines","hard","false","editing","anchored","3","passed","1","0","24985","15608","544"
"tenant-cache","hard","false","editing","anchored","3","passed","1","0","20637","20263","480"
"tenant-cache","hard","false","editing","native","3","passed","1","0","24485","15646","589"
"public-hooks","medium","true","editing","native","3","passed","1","0","10662","19823","81"
"public-hooks","medium","true","editing","anchored","3","passed","1","0","6846","15586","65"
"lazy-iterator","hard","false","editing","anchored","3","passed","1","0","19650","15643","363"
"lazy-iterator","hard","false","editing","native","3","passed","1","0","16107","15467","294"
"browser-search-race","hard","false","editing","native","3","passed","1","0","17605","15643","437"
"browser-search-race","hard","false","editing","anchored","3","passed","1","0","16414","15936","374"
"browser-storage-failure","medium","false","editing","anchored","3","passed","1","0","12188","15914","267"
"browser-storage-failure","medium","false","editing","native","3","passed","1","0","12782","15638","248"
"repo-output-streams","hard","false","editing","native","3","passed","1","0","9593","20423","168"
